DATEV Voucher Config,DATEV Belegkonfiguration,
DATEV Unternehmen Online Settings,DATEV Unternehmen Online-Einstellungen,
New {0} {1} sent by the ERPNext-DATEV integration.,Neue {0} {1} gesendet von der ERPNext-DATEV-Integration.,
Attach Print,Ausdruck anhängen,
Attach Files,Dateien anhängen,
{} was not sent to DATEV because no attachments have been found.,{} wurde nicht an DATEV gesendet weil keine Anhänge gefunden wurden.,
Please configure attachments for voucher type {}.,Bitte konfigurieren Sie Anhänge für Belegart {}.,
Send the voucher printed as PDF,Belegausdruck als PDF mitsenden,
Send files attached to the voucher,An Beleg angehängte Dateien mitsenden,
Will be used as against account for all normal ledger entries,Wird als Gegenkonto für alle normalen Buchungen verwendet,
Will be used as against account for opening ledger entries,Wird als Gegenkonto für alle Eröffnungsbuchungen verwendet,
Account Number Length,Kontonummer Länge,
Temporary Against Account Number,Temporäre Gegenkontonummer,
Change DATEV Settings,DATEV-Einstellungen ändern,
Opening Against Account Number,Gegenkontonummer für Eröffnungsbuchungen,
Temporary Against Account Number must be {0} digits long,Temporäre Gegenkontonummer muss {0} Ziffern lang sein,
Opening Against Account Number must be {0} digits long,Gegenkontonummer für Eröffnungsbuchungen muss {0} Ziffern lang sein,
<b>Company</b> is a mandatory filter.,<b>Unternehmen</b> ist ein Pflichtfilter.,
<b>From Date</b> is a mandatory filter.,<b>Von Datum</b> ist ein Pflichtfilter.,
<b>To Date</b> is a mandatory filter.,<b>Bis Datum</b> ist ein Pflichtfilter.,
Client,Mandant,
Client ID,Mandantennummer,
Company,Unternehmen,
Consultant,Berater,
Consultant ID,Beraternummer,
DATEV Settings,DATEV-Einstellungen,
DATEV Settings for your Company are missing. Would you like to create them now?,DATEV-Einstellungen für Ihr Unternehmen fehlen. Möchten Sie diese jetzt erstellen?,
DATEV Settings missing,DATEV-Einstellungen fehlen,
Dates {} and {} are not in the same fiscal year.,Die Daten {} und {} liegen nicht im gleichen Geschäftsjahr.,
Download DATEV File,DATEV-Datei herunterladen,
ERPNext DATEV,ERPNext-DATEV,
Enabled,Aktiviert,
Failed to attach XML to Sales Invoice PDF for DATEV,Fehler beim Anfügen der XML-Datei zu einem PDF-Druck für DATEV,
From Date,Von Datum,
Please create DATEV Settings for Company {},Bitte erstellen Sie DATEV-Einstellungen für Unternehmen {},
Recipient,Empfänger,
Sender,Absender,
To Date,Bis Datum,
Voucher Type,Belegart,
